                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.6486,                 4.6749,                 4.4269,                      0,                      0,                      0,                      0,                 3.9901,                 4.7831,                 4.1589,                      0,                      0,                      0
                      2,                 4.8492,                 4.9265,                 4.4728,                      0,                      0,                      0,                      0,                 3.9898,                  4.783,                 4.1589,             1.1881e-05,             1.1881e-05,             1.1881e-05
                      3,                 4.4546,                  4.627,                 4.3154,                      0,                      0,                      0,                      0,                 3.9896,                 4.7828,                 4.1589,             2.2525e-05,             2.2525e-05,             2.2525e-05
                      4,                 4.4398,                 4.5418,                 4.4204,                      0,                      0,                      0,                      0,                 3.9894,                 4.7827,                 4.1589,             3.1931e-05,             3.1931e-05,             3.1931e-05
                      5,                 4.7306,                 4.6408,                 4.5655,                      0,                      0,                      0,                      0,                 3.9891,                 4.7825,                 4.1589,               4.01e-05,               4.01e-05,               4.01e-05
                      6,                 4.5106,                 4.8529,                 4.3856,                      0,                      0,                      0,                      0,                 3.9887,                 4.7823,                 4.1589,             4.7031e-05,             4.7031e-05,             4.7031e-05
                      7,                 4.2863,                 4.6519,                 4.4046,                      0,                      0,                      0,                      0,                 3.9882,                 4.7816,                 4.1589,             5.2725e-05,             5.2725e-05,             5.2725e-05
                      8,                 3.7958,                 4.5667,                 4.3033,                      0,                      0,                      0,                      0,                 3.9876,                 4.7806,                 4.1587,             5.7181e-05,             5.7181e-05,             5.7181e-05
                      9,                 4.4969,                 4.2331,                 4.4437,                      0,                      0,                      0,                      0,                 3.9869,                 4.7793,                 4.1586,               6.04e-05,               6.04e-05,               6.04e-05
                     10,                 4.7726,                 4.4173,                 4.2571,                      0,                      0,                      0,                      0,                 3.9861,                 4.7777,                 4.1584,             6.2381e-05,             6.2381e-05,             6.2381e-05
                     11,                 4.5194,                 4.7716,                 4.3796,                      0,                      0,                      0,                      0,                 3.9853,                 4.7758,                 4.1581,             6.3125e-05,             6.3125e-05,             6.3125e-05
                     12,                 4.6269,                 4.7443,                 4.2771,                      0,                      0,                      0,                      0,                 3.9844,                 4.7736,                 4.1578,             6.2631e-05,             6.2631e-05,             6.2631e-05
                     13,                 4.9702,                 4.5876,                  4.098,                      0,                      0,                      0,                      0,                 3.9836,                 4.7714,                 4.1576,               6.09e-05,               6.09e-05,               6.09e-05
                     14,                 4.8126,                  4.733,                 4.2808,                      0,                      0,                      0,                      0,                 3.9828,                  4.769,                 4.1573,             5.7931e-05,             5.7931e-05,             5.7931e-05
                     15,                 4.4317,                 4.6637,                  4.607,                      0,                      0,                      0,                      0,                 3.9819,                 4.7663,                  4.157,             5.3725e-05,             5.3725e-05,             5.3725e-05
                     16,                 4.6576,                 4.6643,                 4.2208,                      0,                      0,                      0,                      0,                 3.9811,                 4.7637,                 4.1568,             4.8281e-05,             4.8281e-05,             4.8281e-05
                     17,                 4.6868,                 4.5202,                 4.1681,                      0,                      0,                      0,                      0,                 3.9803,                 4.7613,                 4.1566,               4.16e-05,               4.16e-05,               4.16e-05
                     18,                 4.8663,                  4.592,                 4.1701,                      0,                      0,                      0,                      0,                 3.9803,                 4.7613,                 4.1566,             3.3681e-05,             3.3681e-05,             3.3681e-05
                     19,                 4.6089,                 4.4901,                 4.2364,                      0,                      0,                      0,                      0,                 3.9787,                 4.7569,                 4.1562,             2.4525e-05,             2.4525e-05,             2.4525e-05
                     20,                 4.6521,                 5.0472,                 4.2833,                      0,                      0,                      0,                      0,                 3.9787,                 4.7569,                 4.1562,             1.4131e-05,             1.4131e-05,             1.4131e-05
