                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  4.671,                 4.7263,                 4.3445,                      0,                      0,                      0,                      0,                 3.9904,                 4.7833,                 4.1586,                      0,                      0,                      0
                      2,                 5.0035,                 4.8205,                 4.3811,                      0,                      0,                      0,                      0,                 3.9905,                 4.7835,                 4.1583,             1.1881e-05,             1.1881e-05,             1.1881e-05
                      3,                 4.5612,                 4.6315,                 4.2801,                      0,                      0,                      0,                      0,                 3.9906,                 4.7835,                  4.158,             2.2525e-05,             2.2525e-05,             2.2525e-05
                      4,                 4.5215,                 4.5015,                 4.3008,                      0,                      0,                      0,                      0,                 3.9907,                 4.7837,                 4.1577,             3.1931e-05,             3.1931e-05,             3.1931e-05
                      5,                 4.7568,                 4.6767,                 4.2994,                      0,                      0,                      0,                      0,                 3.9908,                  4.784,                 4.1574,               4.01e-05,               4.01e-05,               4.01e-05
                      6,                 4.5843,                 4.8338,                 4.2903,                      0,                      0,                      0,                      0,                 3.9908,                 4.7841,                  4.157,             4.7031e-05,             4.7031e-05,             4.7031e-05
                      7,                 4.3791,                 4.5874,                 4.3942,                      0,                      0,                      0,                      0,                 3.9908,                 4.7842,                 4.1571,             5.2725e-05,             5.2725e-05,             5.2725e-05
                      8,                 3.8854,                 4.4096,                 4.2692,                      0,                      0,                      0,                      0,                 3.9907,                  4.784,                 4.1569,             5.7181e-05,             5.7181e-05,             5.7181e-05
                      9,                 4.6107,                 4.2409,                 4.3251,                      0,                      0,                      0,                      0,                 3.9906,                  4.784,                 4.1567,               6.04e-05,               6.04e-05,               6.04e-05
                     10,                 4.8052,                 4.4242,                 4.1682,                      0,                      0,                      0,                      0,                 3.9904,                 4.7841,                 4.1564,             6.2381e-05,             6.2381e-05,             6.2381e-05
                     11,                 4.4265,                 4.9586,                 4.3275,                      0,                      0,                      0,                      0,                 3.9902,                  4.784,                 4.1562,             6.3125e-05,             6.3125e-05,             6.3125e-05
                     12,                 4.5628,                 4.3516,                 4.4397,                      0,                      0,                      0,                      0,                 3.9899,                  4.784,                 4.1561,             6.2631e-05,             6.2631e-05,             6.2631e-05
                     13,                 5.0189,                 4.7083,                 4.2703,                      0,                      0,                      0,                      0,                 3.9897,                 4.7838,                 4.1559,               6.09e-05,               6.09e-05,               6.09e-05
                     14,                 4.6008,                  4.607,                 4.2601,                      0,                      0,                      0,                      0,                 3.9894,                 4.7834,                 4.1559,             5.7931e-05,             5.7931e-05,             5.7931e-05
                     15,                  4.332,                 4.6536,                 4.2718,                      0,                      0,                      0,                      0,                 3.9891,                 4.7828,                 4.1558,             5.3725e-05,             5.3725e-05,             5.3725e-05
                     16,                 4.5786,                 4.6349,                 4.1549,                      0,                      0,                      0,                      0,                 3.9889,                 4.7821,                 4.1549,             4.8281e-05,             4.8281e-05,             4.8281e-05
                     17,                 4.6729,                 4.5676,                 4.1673,                      0,                      0,                      0,                      0,                 3.9886,                 4.7813,                 4.1548,               4.16e-05,               4.16e-05,               4.16e-05
                     18,                 4.7842,                 4.6159,                 4.2795,                      0,                      0,                      0,                      0,                 3.9886,                 4.7813,                 4.1548,             3.3681e-05,             3.3681e-05,             3.3681e-05
                     19,                 4.5224,                 4.3817,                 4.3368,                      0,                      0,                      0,                      0,                 3.9881,                 4.7803,                 4.1547,             2.4525e-05,             2.4525e-05,             2.4525e-05
                     20,                 4.6866,                 4.8239,                 4.2435,                      0,                      0,                      0,                      0,                 3.9881,                 4.7803,                 4.1547,             1.4131e-05,             1.4131e-05,             1.4131e-05
