                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.4269,                 4.7436,                 4.3223,                      0,                      0,                      0,                      0,                 3.9615,                 4.8278,                  4.159,                      0,                      0,                      0
                      2,                 4.1648,                 4.6871,                 4.2238,                      0,                      0,                      0,                      0,                 3.9616,                 4.8278,                 4.1591,             1.1881e-05,             1.1881e-05,             1.1881e-05
                      3,                 4.2777,                 4.5768,                 4.3432,                      0,                      0,                      0,                      0,                 3.9618,                 4.8277,                 4.1592,             2.2525e-05,             2.2525e-05,             2.2525e-05
                      4,                 4.0522,                 4.5788,                 4.4635,                      0,                      0,                      0,                      0,                 3.9621,                 4.8276,                 4.1594,             3.1931e-05,             3.1931e-05,             3.1931e-05
                      5,                 4.1617,                 4.5564,                 4.3573,                      0,                      0,                      0,                      0,                 3.9624,                 4.8272,                 4.1596,               4.01e-05,               4.01e-05,               4.01e-05
                      6,                 4.3294,                 4.6149,                 4.2373,                      0,                      0,                      0,                      0,                 3.9628,                 4.8268,                 4.1598,             4.7031e-05,             4.7031e-05,             4.7031e-05
                      7,                 4.1033,                 4.5703,                 4.4569,                      0,                      0,                      0,                      0,                 3.9633,                 4.8262,                   4.16,             5.2725e-05,             5.2725e-05,             5.2725e-05
                      8,                 4.5415,                 4.9348,                 4.2497,                      0,                      0,                      0,                      0,                 3.9639,                 4.8254,                 4.1603,             5.7181e-05,             5.7181e-05,             5.7181e-05
                      9,                 4.1049,                 4.5686,                 4.2527,                      0,                      0,                      0,                      0,                 3.9646,                 4.8245,                 4.1606,               6.04e-05,               6.04e-05,               6.04e-05
                     10,                 4.1451,                 4.4856,                 4.3351,                      0,                      0,                      0,                      0,                 3.9654,                 4.8232,                 4.1609,             6.2381e-05,             6.2381e-05,             6.2381e-05
                     11,                 4.5095,                 4.6989,                 4.4304,                      0,                      0,                      0,                      0,                 3.9664,                 4.8219,                 4.1613,             6.3125e-05,             6.3125e-05,             6.3125e-05
                     12,                 4.3448,                 4.7141,                 4.4016,                      0,                      0,                      0,                      0,                 3.9675,                 4.8207,                 4.1618,             6.2631e-05,             6.2631e-05,             6.2631e-05
                     13,                 4.2666,                 4.5142,                 4.1951,                      0,                      0,                      0,                      0,                 3.9687,                 4.8193,                 4.1623,               6.09e-05,               6.09e-05,               6.09e-05
                     14,                  4.279,                 4.6225,                 4.2897,                      0,                      0,                      0,                      0,                   3.97,                 4.8179,                 4.1628,             5.7931e-05,             5.7931e-05,             5.7931e-05
                     15,                 4.3906,                 4.5949,                 4.1933,                      0,                      0,                      0,                      0,                 3.9714,                 4.8166,                 4.1634,             5.3725e-05,             5.3725e-05,             5.3725e-05
                     16,                 4.2736,                  4.485,                 4.2241,                      0,                      0,                      0,                      0,                  3.973,                 4.8152,                 4.1639,             4.8281e-05,             4.8281e-05,             4.8281e-05
                     17,                 4.4649,                 4.6738,                 4.2565,                      0,                      0,                      0,                      0,                 3.9745,                  4.814,                 4.1645,               4.16e-05,               4.16e-05,               4.16e-05
                     18,                 4.2825,                 4.8484,                 4.1637,                      0,                      0,                      0,                      0,                 3.9745,                  4.814,                 4.1645,             3.3681e-05,             3.3681e-05,             3.3681e-05
                     19,                 4.1786,                 4.4972,                 4.3518,                      0,                      0,                      0,                      0,                 3.9771,                 4.8117,                 4.1656,             2.4525e-05,             2.4525e-05,             2.4525e-05
                     20,                 4.2363,                 4.4195,                 4.2095,                      0,                      0,                      0,                      0,                 3.9771,                 4.8117,                 4.1656,             1.4131e-05,             1.4131e-05,             1.4131e-05
