                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.4651,                 4.8996,                 4.2875,                      0,                      0,                      0,                      0,                 3.9615,                 4.8278,                  4.159,                      0,                      0,                      0
                      2,                 4.6073,                 5.0246,                 4.6281,                      0,                      0,                      0,                      0,                 3.9617,                 4.8277,                 4.1591,             1.1263e-05,             1.1263e-05,             1.1263e-05
                      3,                 4.5192,                 4.7584,                 4.3709,                      0,                      0,                      0,                      0,                 3.9618,                 4.8278,                 4.1592,              2.005e-05,              2.005e-05,              2.005e-05
                      4,                 4.4453,                 4.8382,                 4.2782,                      0,                      0,                      0,                      0,                 3.9621,                 4.8277,                 4.1593,             2.6363e-05,             2.6363e-05,             2.6363e-05
                      5,                 4.5346,                 4.6467,                 4.4464,                      0,                      0,                      0,                      0,                 3.9623,                 4.8277,                 4.1595,               3.02e-05,               3.02e-05,               3.02e-05
                      6,                 4.3881,                 4.7442,                 4.2965,                      0,                      0,                      0,                      0,                 3.9625,                 4.8276,                 4.1596,             3.1563e-05,             3.1563e-05,             3.1563e-05
                      7,                 4.4456,                  4.682,                 4.3987,                      0,                      0,                      0,                      0,                 3.9627,                 4.8275,                 4.1598,              3.045e-05,              3.045e-05,              3.045e-05
                      8,                 4.5183,                 4.8189,                 4.3355,                      0,                      0,                      0,                      0,                  3.963,                 4.8273,                   4.16,             2.6863e-05,             2.6863e-05,             2.6863e-05
                      9,                 4.4763,                 4.6563,                 4.3395,                      0,                      0,                      0,                      0,                 3.9632,                 4.8273,                 4.1602,               2.08e-05,               2.08e-05,               2.08e-05
                     10,                 4.3003,                 4.7657,                 4.3727,                      0,                      0,                      0,                      0,                 3.9634,                 4.8271,                 4.1604,             1.2262e-05,             1.2262e-05,             1.2262e-05
