                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.8483,                 4.7648,                 4.2399,                      0,                      0,                      0,                      0,                 4.4999,                 4.6705,                 4.1587,               3.75e-05,               3.75e-05,               3.75e-05
                      2,                 4.8273,                 4.8325,                 4.2434,                      0,                      0,                      0,                      0,                 4.4982,                 4.6679,                 4.1585,             8.7067e-05,             8.7067e-05,             8.7067e-05
                      3,                 4.9123,                 4.7735,                 4.1955,                      0,                      0,                      0,                      0,                 4.4983,                 4.6627,                 4.1573,             0.00013614,             0.00013614,             0.00013614
                      4,                 4.7927,                 4.6514,                 4.1424,                      0,                      0,                      0,                      0,                 4.4988,                 4.6403,                 4.1551,             0.00018472,             0.00018472,             0.00018472
                      5,                 4.9063,                 4.4966,                 4.0894,                      0,                      0,                      0,                      0,                 4.4972,                  4.626,                 4.1534,              0.0002328,              0.0002328,              0.0002328
                      6,                  4.799,                  4.246,                 3.9253,                      0,                      0,                      0,                      0,                 4.4966,                 4.6412,                 4.1541,             0.00028038,             0.00028038,             0.00028038
                      7,                 4.4223,                 3.9165,                 3.8909,                      0,                      0,                      0,                      0,                 4.4911,                 4.5822,                 4.1584,             0.00032748,             0.00032748,             0.00032748
                      8,                 4.1785,                 3.8805,                 3.8311,                      0,                      0,                      0,                      0,                 4.4844,                  4.551,                 4.1708,             0.00037407,             0.00037407,             0.00037407
                      9,                 3.9986,                 3.9134,                 3.6786,                      0,                      0,                      0,                      0,                 4.4682,                 4.5816,                 4.1947,             0.00042017,             0.00042017,             0.00042017
                     10,                 3.9681,                 3.7114,                 3.5225,                      0,                      0,                      0,                      0,                 4.4394,                 4.7081,                 4.2221,             0.00046578,             0.00046578,             0.00046578
                     11,                 3.8528,                 3.3835,                  3.435,                      0,                      0,                      0,                      0,                 4.4518,                 4.6826,                 4.2372,             0.00051089,             0.00051089,             0.00051089
