                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.3281,                 4.2151,                 2.7223,                0.00059,                 0.0625,                0.00041,                  7e-05,                 4.7775,                 4.6099,                 4.0313,               3.75e-05,               3.75e-05,               3.75e-05
                      2,                 3.1331,                 4.2478,                 2.6076,                 0.0006,                 0.0625,                0.00042,                  5e-05,                 4.7148,                 4.5729,                 3.9337,             8.7067e-05,             8.7067e-05,             8.7067e-05
                      3,                 2.7319,                 3.9342,                 2.2821,                0.33895,                 0.0625,                0.03403,                0.01227,                 2.7201,                 5.4177,                 2.1219,             0.00013614,             0.00013614,             0.00013614
                      4,                 1.8539,                 3.0007,                 1.6189,                0.02394,                0.20833,                0.01956,                0.00229,                 2.4497,                    inf,                 1.9753,             0.00018472,             0.00018472,             0.00018472
                      5,                 1.5781,                 2.5386,                 1.4034,                0.02652,                0.20833,                0.02116,                0.01051,                  1.893,                    inf,                 2.2668,              0.0002328,              0.0002328,              0.0002328
                      6,                 1.4068,                 2.2722,                 1.3364,                0.00087,                0.08333,                0.00251,                0.00099,                 2.0705,                    inf,                 2.3073,             0.00028038,             0.00028038,             0.00028038
                      7,                 1.3841,                 2.0905,                 1.3224,                0.18863,                0.16667,                0.12822,                0.08717,                  1.694,                    inf,                 1.9445,             0.00032748,             0.00032748,             0.00032748
                      8,                 1.3795,                 1.9885,                 1.3149,                0.23248,                0.58333,                0.23488,                0.12831,                 1.6235,                    inf,                 2.1896,             0.00037407,             0.00037407,             0.00037407
                      9,                 1.4303,                 1.8577,                 1.3514,                0.33511,                0.47917,                0.24096,                0.14976,                 1.7152,                    inf,                  2.071,             0.00042017,             0.00042017,             0.00042017
                     10,                 1.4585,                 1.9196,                 1.3429,                 0.0144,                0.54138,                0.01472,                0.00774,                    nan,                    nan,                    nan,             0.00046578,             0.00046578,             0.00046578
                     11,                 1.3934,                 1.6213,                 1.3094,                0.00761,                0.33333,                0.00766,                0.00341,                    nan,                    nan,                    nan,             0.00051089,             0.00051089,             0.00051089
                     12,                 1.5473,                 1.8773,                 1.4345,                0.00676,                0.04167,                0.00356,                0.00312,                 2.8791,                    inf,                 39.953,             0.00055551,             0.00055551,             0.00055551
                     13,                  1.422,                 1.6302,                 1.3655,                0.00676,                0.04167,                0.00356,                0.00312,                  2.738,                    inf,                 43.735,             0.00059963,             0.00059963,             0.00059963
                     14,                  1.431,                 1.5954,                 1.3319,                0.00089,                 0.0625,                0.00068,                0.00026,                 3.6493,                    inf,                   32.7,             0.00064326,             0.00064326,             0.00064326
                     15,                 1.4291,                 1.4888,                 1.3424,                0.00089,                 0.0625,                0.00068,                0.00026,                 4.3496,                    inf,                 10.798,             0.00068639,             0.00068639,             0.00068639
                     16,                 1.3223,                 1.4155,                 1.3029,                0.44492,                  0.125,                0.03454,                0.00804,                 3.9867,                    inf,                 9.2912,             0.00072903,             0.00072903,             0.00072903
                     17,                   1.33,                 1.2723,                 1.3164,                0.08095,                  0.125,                0.01525,                0.00457,                 4.3985,                 170.85,                 6.6012,             0.00077117,             0.00077117,             0.00077117
                     18,                 1.3506,                 1.2949,                 1.2817,                0.65736,                0.08333,                  0.037,                0.02905,                 3.7415,                 47.011,                 5.0147,             0.00081282,             0.00081282,             0.00081282
                     19,                 1.3473,                 1.3324,                 1.2824,                0.65736,                0.08333,                  0.037,                0.02905,                 4.2733,                 19.721,                 6.5897,             0.00085397,             0.00085397,             0.00085397
                     20,                 1.2872,                  1.463,                   1.27,                0.25167,                 0.0625,                0.00164,                0.00023,                 4.0054,                 9.7502,                 3.9605,             0.00089463,             0.00089463,             0.00089463
                     21,                 1.3659,                 1.3685,                 1.3158,                0.00115,                0.04167,                 0.0005,                0.00011,                 4.2678,                 13.063,                 6.4887,             0.00093479,             0.00093479,             0.00093479
                     22,                 1.2691,                 1.3019,                 1.2374,                0.00287,                 0.0625,                0.00211,                0.00051,                 3.8418,                 19.031,                 5.2738,             0.00097445,             0.00097445,             0.00097445
                     23,                 1.2471,                 1.2334,                 1.2772,                0.01719,                0.08333,                0.00598,                0.00171,                  4.166,                 22.344,                 6.8893,              0.0010136,              0.0010136,              0.0010136
                     24,                 1.3534,                 1.2522,                 1.2719,                0.09216,                0.14247,                0.05335,                0.03489,                 3.6562,                  5.464,                 4.6974,              0.0010523,              0.0010523,              0.0010523
                     25,                 1.3628,                 1.2717,                 1.2714,                0.08774,                  0.125,                0.05034,                0.02399,                 3.8042,                 4.7301,                 3.8003,              0.0010905,              0.0010905,              0.0010905
                     26,                 1.1882,                 1.1005,                  1.219,                0.13196,                   0.25,                0.09106,                0.03643,                 2.7932,                 3.6762,                  2.595,              0.0010953,              0.0010953,              0.0010953
                     27,                 1.1919,                 1.0601,                 1.2134,                0.17995,                0.24944,                0.12469,                0.06023,                 2.6572,                 4.2305,                 2.6195,              0.0010891,              0.0010891,              0.0010891
                     28,                 1.2174,                 1.0425,                 1.2602,                0.31294,                0.20145,                0.19471,                0.09728,                 2.5413,                 4.8606,                 2.3416,              0.0010829,              0.0010829,              0.0010829
                     29,                 1.2163,                  1.071,                  1.188,                0.17553,                0.27783,                0.17283,                0.09279,                 2.5468,                 4.5686,                 2.3309,              0.0010768,              0.0010768,              0.0010768
                     30,                 1.1697,                0.95801,                 1.1663,                0.51171,                0.35033,                0.33076,                0.15809,                 2.1549,                 4.2362,                 2.3544,              0.0010706,              0.0010706,              0.0010706
                     31,                 1.1352,                0.99203,                 1.2462,                0.63558,                0.52727,                0.52603,                0.26511,                  1.731,                 2.7076,                 1.9048,              0.0010644,              0.0010644,              0.0010644
                     32,                 1.1511,                0.94965,                 1.2193,                0.52273,                0.63183,                0.56414,                0.31124,                 1.7453,                 2.1388,                 1.9894,              0.0010582,              0.0010582,              0.0010582
                     33,                 1.1419,                0.97208,                 1.1964,                0.53468,                0.66667,                0.56782,                0.31473,                 1.8085,                 2.6275,                 2.1585,               0.001052,               0.001052,               0.001052
                     34,                  1.174,                0.91587,                 1.2241,                0.56448,                0.41667,                0.41846,                0.23681,                 1.9477,                 2.7917,                 2.2146,              0.0010458,              0.0010458,              0.0010458
                     35,                 1.1608,                0.92808,                 1.2038,                0.43471,                0.39408,                0.36649,                0.20782,                 1.7429,                 2.9155,                 1.9486,              0.0010396,              0.0010396,              0.0010396
                     36,                 1.0978,                0.87692,                  1.183,                0.37221,                0.33141,                0.29082,                0.15904,                 1.9491,                  4.308,                 2.1343,              0.0010334,              0.0010334,              0.0010334
                     37,                 1.0356,                0.87542,                 1.1784,                0.39621,                0.59819,                0.41071,                0.18482,                  1.809,                 3.7384,                 2.0686,              0.0010273,              0.0010273,              0.0010273
                     38,                 1.0315,                0.81524,                 1.1258,                0.29756,                0.65294,                0.38212,                0.15929,                 1.8724,                 5.6058,                 2.2219,              0.0010211,              0.0010211,              0.0010211
